LON,LAT,rating_date,score,PRECTOTCORR_mean_win_1,PRECTOTCORR_mean_win_2,PRECTOTCORR_mean_win_3,RH2M_mean_win_1,RH2M_mean_win_2,RH2M_mean_win_3,T2M_mean_win_1,T2M_mean_win_2,T2M_mean_win_3,T2M_MAX_mean_win_1,T2M_MAX_mean_win_2,T2M_MAX_mean_win_3,T2M_MIN_mean_win_1,T2M_MIN_mean_win_2,T2M_MIN_mean_win_3,WS2M_mean_win_1,WS2M_mean_win_2,WS2M_mean_win_3,QTD_DIAS_PRECIP_MAIOR_3MM_win_1,QTD_DIAS_PRECIP_MAIOR_3MM_win_2,QTD_DIAS_PRECIP_MAIOR_3MM_win_3,QTD_MM_ACUMUL_win_1,QTD_MM_ACUMUL_win_2,QTD_MM_ACUMUL_win_3,QTD_DIAS_UMIDREL_MAIOR_80_win_1,QTD_DIAS_UMIDREL_MAIOR_80_win_2,QTD_DIAS_UMIDREL_MAIOR_80_win_3
-64.21082857,-25.01953711,2020-06-19,1,0.79,0.006,0.142,66.524,54.288,51.09,12.204,17.61,14.202,19.21,26.036,22.818,6.968,11.6,8.292,1.628,2.008,2.144,1,0,0,3.95,0.03,0.71,0,0,0
-64.20573044,-34.18760148,2021-02-22,0,0.414,12.196,11.47,62.7,79.35,62.926,22.69,17.594,25.81,31.92,23.58,34.008,14.326,12.624,18.696,0.088,0.13,0.074,0,4,3,2.07,60.98,57.35,0,3,0
-64.201236,-24.8782415,2022-06-09,1,0,0.056,1.116,68.214,59.75,77.738,18.116,12.784,15.946,26.216,21.316,21.304,12.074,6.26,11.716,1.744,1.568,1.702,0,0,1,0,0.28,5.58,0,0,2
-64.1955031,-35.6659321,2023-04-10,1,1.006,2.268,3.556,65.838,69.202,68.424,20.698,20.784,25.88,28.744,26.952,33.118,14.002,16.126,20.072,0.196,0.19,0.162,1,2,2,5.03,11.34,17.78,0,0,0
-64.1756185,-24.9339021,2022-05-16,1,0.022,53.902,0.742,71.926,76.05,66.852,16.882,22.026,21.846,22.406,28.39,29.566,12.25,16.52,15.472,1.816,2.07,1.832,0,1,1,0.11,269.51,3.71,1,2,0
-64.16824797,-32.62862264,2023-02-10,0,7.146,4.642,3.33,70.05,57.726,48.75,23.664,26.444,24.336,29.902,35.024,33.238,17.856,18.904,15.836,0.388,0.386,0.41,3,3,1,35.73,23.21,16.65,1,0,0
-64.1633846,-31.0062483,2021-03-29,1,10.79,0,3.06,83.726,61.802,72.936,18.308,20.494,20.966,23.648,29.074,26.664,14.81,13.884,16.496,0.91,1.062,0.758,3,0,1,53.95,0,15.3,4,0,0
-64.16140074,-32.67079968,2022-02-02,0,3.148,0,0,55.3,31.876,44.464,24.84,29.61,23.854,32.47,38.702,32.608,18.398,20.56,15.598,0.452,0.488,0.42,2,0,0,15.74,0,0,0,0,0
-64.1603253,-32.66575569,2023-03-31,0,9.028,0.038,3.784,69,53.124,56.264,24.522,26.26,25.782,31.632,34.7,33.616,19.254,19.128,19.594,0.326,0.422,0.416,2,0,2,45.14,0.19,18.92,1,0,0
-64.16026446,-32.6564521,2021-02-22,0,1.326,15.622,14.49,71.6,83.55,70.552,20.122,16.61,24.34,27.628,21.08,30.55,13.294,12.44,19.506,0.356,0.392,0.312,1,4,3,6.63,78.11,72.45,1,4,1
-64.12620948,-32.69103232,2020-02-04,2,0.942,2.444,5.768,61.94,72.9,62.676,25.256,22.974,22.95,33.13,29.038,30.248,18.022,17.262,16.006,0.424,0.434,0.524,1,2,3,4.71,12.22,28.84,0,1,0
-64.122994,-26.25535,2023-05-02,0,0.752,10.726,5.738,81.414,75.462,81.926,18.062,23.192,21.782,22.96,29.238,26.512,14.056,18.408,17.498,1.36,3.296,1.654,0,2,2,3.76,53.63,28.69,3,1,2
-64.12212,-31.5804,2020-03-19,2,0,2.906,0.028,59.636,58.112,64.424,22.492,21.194,17.642,31.182,30.048,25.328,15.392,13.56,11.02,0.282,0.29,0.272,0,1,0,0,14.53,0.14,0,0,0
-64.09569556,-25.97043509,2021-04-09,0,98.48,4.62,12.232,85.624,82.686,84.202,22.192,20.832,23.594,26.488,25.76,27.932,17.934,17.146,19.86,2.652,2.45,2.088,4,3,5,492.4,23.1,61.16,4,5,5
-64.0948655,-31.5685849,2022-03-31,0,1.072,0.11,8.464,61.188,63.538,74.262,21.804,18.174,22.342,31.016,26.928,30.08,14.938,11.136,15.788,0.256,0.316,0.236,1,0,2,5.36,0.55,42.32,0,0,1
-64.0948655,-31.5685849,2022-06-10,0,0.01,0,2.838,72.148,51.274,72.836,11.762,10.804,9.482,19.944,21.378,16.66,5.678,3.788,4.2,0.484,0.522,0.416,0,0,2,0.05,0,14.19,0,0,2
-64.09316002,-31.57000011,2023-03-21,0,3.398,0.33,2.678,57.602,52.524,64.426,25.138,24.602,21.844,33.228,33.35,29.57,18.618,17.546,16.156,0.264,0.322,0.256,1,0,1,16.99,1.65,13.39,0,0,1
-64.08571123,-32.12828612,2023-04-10,0,4.528,11.13,7.464,83.664,76.3,67.926,20.172,23.042,24.646,26.254,29.532,32.118,15.874,18.454,18.894,0.45,0.448,0.43,2,2,2,22.64,55.65,37.32,3,2,1
-64.08459212,-32.12021572,2022-05-11,2,0.618,0.7,0.04,57.448,67.914,53.076,17.632,16.556,15.142,27.09,25.282,23.858,9.944,9.684,8.936,0.678,0.546,0.582,1,0,0,3.09,3.5,0.2,0,0,0
-64.0831004,-31.30125874,2020-03-19,1,0,2.906,0.028,59.636,58.112,64.424,22.492,21.194,17.642,31.182,30.048,25.328,15.392,13.56,11.02,0.282,0.29,0.272,0,1,0,0,14.53,0.14,0,0,0
-64.0821591,-31.8159479,2021-03-25,2,1.096,0.804,1.898,57.488,64.884,65.276,23.076,24.202,23.088,30.142,31.366,30.482,17.004,18.234,16.65,0.59,0.454,0.552,1,1,1,5.48,4.02,9.49,0,0,0
-64.08094292,-30.77984541,2023-03-30,0,5.426,0.666,2.328,67.274,58.124,57.776,23.81,23.526,23.47,30.568,32.22,31.452,18.344,16.204,16.346,0.956,1.082,1.132,2,1,1,27.13,3.33,11.64,1,0,0
-64.07798,-30.77463,2022-03-31,2,0.704,0.382,7.85,65.524,68.462,76.726,19.602,16.428,21.196,28.46,24.642,28.074,12.674,9.352,14.678,0.906,1.168,0.994,1,0,2,3.52,1.91,39.25,0,2,2
-64.053705,-23.36341,2023-05-02,0,1.916,2.702,12.612,83.736,78.188,82.788,20.102,23.72,22.962,25.55,29.254,27.924,15.932,18.674,19.264,1.4,1.896,1.588,1,2,2,9.58,13.51,63.06,5,2,4
-64.016134,-26.0479279,2022-05-30,1,0.462,0.298,0.008,69.112,69.702,60.902,17.428,20.82,16.826,23.742,27.788,25.08,12.698,15.048,9.998,2.476,1.968,2.312,0,0,0,2.31,1.49,0.04,0,0,0
-63.986082,-32.860604,2023-03-10,0,2.642,0.86,5.076,57.502,47.076,52.052,23.284,18.43,27.158,32.446,26.616,35.136,15.256,10.618,19.866,0.024,0.076,0.03,2,1,2,13.21,4.3,25.38,0,0,0
-63.9607417,-32.9459795,2023-02-10,0,10.232,5.128,1.02,66.824,56.198,46.824,25.444,27.758,25.85,32.728,37.712,36.028,18.84,19.782,16.424,0.048,0.076,0.096,3,3,0,51.16,25.64,5.1,1,0,0
-63.9281953,-36.5137953,2023-04-10,1,0.43,2.888,4.018,62.188,67.162,67.452,20.542,20.456,25.386,28.068,26.912,31.818,13.432,14.92,20.244,2.43,2.396,1.964,0,2,1,2.15,14.44,20.09,0,0,0
-63.92231026,-24.6809314,2020-06-19,1,0.316,0,0.082,60.162,53.314,50.212,14.068,18.706,14.95,21.39,27.202,23.588,8.39,12.574,8.778,1.7,2.084,2.198,0,0,0,1.58,0,0.41,0,0,0
