LON,LAT,rating_date,score,WS2M,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ID
-65.081003,-25.980183,2023-03-28,0,1.98,24.72,32.06,18.84,0,69.25,6
-65.081003,-25.980183,2023-03-28,0,2.22,24.99,32.86,18.15,0,66.31,5
-65.081003,-25.980183,2023-03-28,0,2.59,24.94,32.65,18.37,0,65.5,4
-65.081003,-25.980183,2023-03-28,0,2.6,24.9,32.31,18.42,0,63.25,3
-65.081003,-25.980183,2023-03-28,0,2.51,24.87,31.69,19.19,0.2,63.69,2
-65.081003,-25.980183,2023-03-28,0,2.14,24.01,29.37,19.61,1.35,70.25,1
-65.081003,-25.980183,2023-05-02,0,2.08,19.32,24.46,15.56,19.84,88.94,15
-65.081003,-25.980183,2023-05-02,0,1.14,16.94,21.15,14.4,6.34,87.19,14
-65.081003,-25.980183,2023-05-02,0,1.32,18.48,24.68,13.74,0.33,82.06,13
-65.081003,-25.980183,2023-05-02,0,1,18.01,21.6,15.4,0.25,85.25,12
-65.081003,-25.980183,2023-05-02,0,1.96,19.3,25.87,14.34,0,79.81,11
-65.081003,-25.980183,2023-05-02,0,2.24,19.9,26.56,14.94,0,78.94,10
-65.081003,-25.980183,2023-05-02,0,2.05,20.06,26.46,14.77,0,80.88,9
-65.081003,-25.980183,2023-05-02,0,2.38,20.98,27.59,15.66,0,79,8
-65.081003,-25.980183,2023-05-02,0,1.9,21.65,27.47,17.26,7.22,79.25,7
-65.081003,-25.980183,2023-05-02,0,3.31,14.32,19.37,11.49,38.45,89.38,6
-65.081003,-25.980183,2023-05-02,0,1.83,12.97,18.24,9.37,0.95,85.31,5
-65.081003,-25.980183,2023-05-02,0,1.52,13.76,18.87,9.51,1.32,87.69,4
-65.081003,-25.980183,2023-05-02,0,1.63,15.52,20.98,11.56,0.79,88.31,3
-65.081003,-25.980183,2023-05-02,0,1.69,15.2,19.77,11.8,0.11,87.81,2
-65.081003,-25.980183,2023-05-02,0,1.41,16.25,23.02,12.03,0.01,81.94,1
-65.0579365,-34.2096133,2021-04-26,0,0.84,16.94,26.6,8.93,0,68.94,15
-65.0579365,-34.2096133,2021-04-26,0,0.91,18.1,28.07,9.49,0,68,14
-65.0579365,-34.2096133,2021-04-26,0,1.09,18.45,27.12,11.25,0,70.81,13
-65.0579365,-34.2096133,2021-04-26,0,1.19,17.71,24.52,12.24,0,74.31,12
-65.0579365,-34.2096133,2021-04-26,0,1.34,19.48,27.02,14.15,0,68,11
-65.0579365,-34.2096133,2021-04-26,0,0.96,20.12,28.87,12.76,0,70.38,10
-65.0579365,-34.2096133,2021-04-26,0,1.19,21.51,30.07,14.15,0,69.81,9
-65.0579365,-34.2096133,2021-04-26,0,1.14,22.48,30.9,16.38,0,71.38,8
-65.0579365,-34.2096133,2021-04-26,0,1.49,23.03,30.68,16.55,0,71.81,7
-65.0579365,-34.2096133,2021-04-26,0,1.01,23.01,30.1,17.65,3.41,78.88,6
-65.0579365,-34.2096133,2021-04-26,0,1.05,20.47,24.77,17.39,14.18,82.12,5
-65.0579365,-34.2096133,2021-04-26,0,1.34,18.37,23.84,14.37,4.16,73.25,4
-65.0579365,-34.2096133,2021-04-26,0,1.59,14.33,18.48,9.87,8.74,87.31,3
-65.0579365,-34.2096133,2021-04-26,0,1.12,14.73,21.89,8.1,0.18,60.75,2
-65.0579365,-34.2096133,2021-04-26,0,0.73,16.71,27.65,8.64,0,53.44,1
-65.0500522,-34.25090585,2022-05-11,0,1.16,12.51,21.9,5.88,0.06,50.62,15
-65.0500522,-34.25090585,2022-05-11,0,1.07,13.79,23.21,6.88,0,59.69,14
-65.0500522,-34.25090585,2022-05-11,0,1.04,15.07,24.91,6.97,0,60.31,13
-65.0500522,-34.25090585,2022-05-11,0,0.5,15.9,26.37,7.87,0,61.62,12
-65.0500522,-34.25090585,2022-05-11,0,0.91,15.27,24.12,7.85,0,69,11
-65.0500522,-34.25090585,2022-05-11,0,0.95,16.64,26.63,8.26,0,66.31,10
-65.0500522,-34.25090585,2022-05-11,0,0.7,16.36,22.96,10.05,0,73.19,9
-65.0500522,-34.25090585,2022-05-11,0,1.15,15.45,22.23,8.6,1.96,74.88,8
-65.0500522,-34.25090585,2022-05-11,0,0.61,14.11,22.22,5.84,0.01,49.88,7
-65.0500522,-34.25090585,2022-05-11,0,1.46,13.96,18.73,9.65,3.48,59.88,6
-65.0500522,-34.25090585,2022-05-11,0,0.87,17.56,29.35,8.4,0.01,58.38,5
-65.0500522,-34.25090585,2022-05-11,0,0.7,19.24,29.38,11.07,0,57,4
-65.0500522,-34.25090585,2022-05-11,0,0.99,14.25,21.63,8.16,0,50.25,3
